                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89978,                0.57228,                 1.0574,                0.94339,                0.95232,                0.98492,                 0.7968,                0.79524,                0.55108,                0.94638,              0.0099663,              0.0099663,              0.0099663
                     36,                0.94013,                0.56356,                 1.0258,                0.96557,                0.98571,                0.99372,                0.79178,                0.83116,                0.55585,                0.99357,              0.0099653,              0.0099653,              0.0099653
                     37,                 0.8737,                0.56822,                  1.018,                0.94004,                0.97143,                0.97233,                0.76336,                 0.8002,                0.58602,                0.98504,              0.0099644,              0.0099644,              0.0099644
                     38,                0.89035,                0.58265,                 1.0542,                0.99555,                0.97143,                0.98641,                0.80697,                0.72363,                0.50282,                0.93035,              0.0099634,              0.0099634,              0.0099634
                     39,                0.89491,                0.57704,                 1.0282,                0.94084,                0.95714,                0.98346,                0.77067,                0.76613,                0.51942,                0.95087,              0.0099624,              0.0099624,              0.0099624
                     40,                0.85393,                0.55026,                 1.0011,                0.94686,                0.95714,                0.98611,                0.76352,                0.82249,                0.53098,                0.97234,              0.0099614,              0.0099614,              0.0099614
                     41,                0.86981,                0.53558,                0.99621,                0.98558,                0.97656,                0.98904,                0.80792,                0.71773,                0.46499,                0.92882,              0.0099604,              0.0099604,              0.0099604
                     42,                0.86472,                 0.5284,                 1.0059,                0.98093,                0.94286,                 0.9819,                0.77901,                0.78357,                0.53511,                0.98079,              0.0099594,              0.0099594,              0.0099594
                     43,                0.86121,                0.55765,                 1.0407,                0.97989,                0.94286,                0.98103,                0.77117,                 0.7518,                0.50351,                0.96238,              0.0099584,              0.0099584,              0.0099584
                     44,                0.89053,                0.53743,                 1.0168,                      1,                0.97141,                0.99379,                 0.8074,                0.74025,                0.44607,                0.92933,              0.0099574,              0.0099574,              0.0099574
                     45,                0.85535,                0.54876,                 1.0336,                0.98934,                      1,                  0.995,                0.81744,                0.71944,                0.48325,                0.92231,              0.0099564,              0.0099564,              0.0099564
                     46,                0.86269,                0.53338,                 1.0222,                0.98857,                      1,                  0.995,                0.81305,                0.68993,                0.40246,                0.90396,              0.0099554,              0.0099554,              0.0099554
                     47,                0.86238,                0.51628,                0.99648,                0.99662,                      1,                  0.995,                 0.8218,                0.72281,                0.42914,                0.90239,              0.0099545,              0.0099545,              0.0099545
                     48,                0.84188,                0.52945,                 1.0018,                0.95784,                0.97362,                0.99392,                0.81411,                0.69096,                0.44475,                0.90074,              0.0099535,              0.0099535,              0.0099535
                     49,                0.86025,                0.52301,                0.99504,                0.99388,                      1,                  0.995,                0.84331,                0.66689,                0.46225,                0.90728,              0.0099525,              0.0099525,              0.0099525
                     50,                0.81633,                0.51543,                 1.0004,                0.97921,                0.95714,                0.99072,                0.82923,                  0.697,                 0.5055,                0.90622,              0.0099515,              0.0099515,              0.0099515
